Name,addr,type,lon,lat
"Кафе ""Укроп""","Санкт-Петербург, Марата, 23",50 рублей от каждого кусочка морковного тарта – в нашу пользу,30.352666,59.92786799999999
"Кафе ""Укроп""","Санкт-Петербург, Малая Конюшенная, 14",50 рублей от каждого кусочка морковного тарта – в нашу пользу,30.32536929999992,59.9362704
"Кафе ""Укроп""","Санкт-Петербург, 7-я линия В.О., 30",50 рублей от каждого кусочка морковного тарта – в нашу пользу,30.281191600000056,59.940479
"Кафе ""Укроп""","Санкт-Петербург, Восстания, 47",50 рублей от каждого кусочка морковного тарта – в нашу пользу,30.360976700000037,59.9419086
Кофейня Pitcher,"Санкт-Петербург, Марата, 2","Кофейный напиток ""Мастер на все мысли"" – в нашу пользу",30.35576100000003,59.931259
Кофейня Pitcher,"Санкт-Петербург, Бассейная, 12","Кофейный напиток ""Мастер на все мысли"" – в нашу пользу",30.315606900000034,59.8663719
"Пространство ""Легко-Легко""","Санкт-Петербург, Большая Пушкарская, 10",Можно купить изделия наших мастерских,30.297986000000037,59.955575
"Магазин ""Спасибо""","Санкт-Петербург, Чкаловский проспект, 5",Можно купить изделия наших мастерских,30.28868669999997,59.95914539999999
"Магазин ""Спасибо""","Санкт-Петербург, Ковенский, 23",Можно купить изделия наших мастерских,30.362266399999953,59.9372663
"Магазин ""Спасибо""","Санкт-Петербург, Гороховая, 50/79",Можно купить изделия наших мастерских,30.3266232,59.9258974
"Магазин ""Спасибо""","Санкт-Петербург, 8-я линия В.О., 55",Можно купить изделия наших мастерских,30.274829599999975,59.943791
"Магазин ""Спасибо""","Санкт-Петербург, Лиговский, 74",Можно купить изделия наших мастерских,30.35530659999995,59.9221147
Магазин 4DOTS,"Санкт-Петербург, Дворцовая набережная, 20",Можно купить изделия наших мастерских,30.321355700000026,59.9438793
Цветочная кухня Павла Лопарева,"Санкт-Петербург, Лиговский, 30А («Галерея»)",7 % от каждого проданного букета – в нашу пользу,30.36057299999993,59.92768
Цветочная кухня Павла Лопарева,"Санкт-Петербург, Лиговский, 19",7 % от каждого проданного букета – в нашу пользу,30.363752999999974,59.936134
